生	生	なま	adj-no,adj-na,pref	raw; uncooked; fresh; natural								
端	端[はし]	はし	n	end (e.g. of street); tip; edge								
競技	競技[きょうぎ]	きょうぎ	n,vs,adj-no	game; match								
笑い	笑い	わらい	n	laughter; smile								
笑顔	笑顔	えがお	n,vs	smiling face; smile								
笛	笛[ふえ]	ふえ	n	flute; pipe								
筆	筆[ふで]	ふで	n	writing brush								
等しい	等しい	ひとしい	adj-i	equal; similar								
筋	筋[すじ]	すじ	n	tendon; artery; fiber								
筋肉	筋肉[きんにく]	きんにく	n,adj-no	muscle								
答案	答案	とうあん	n	answer sheet								
管	管[かん]	かん	n,n-suf	pipe; tube								
節	節[ふし]	ふし	n	joint								
節約	節約[せつやく]	せつやく	n,vs	economising; saving								
範囲	範囲[はんい]	はんい	n	extent; scope								
かご	かご	かご	n	basket (shopping, etc.); hamper; case								
粉	粉	こな	n	flour; powder								
粗末	粗末[そまつ]	そまつ	adj-na,n	crude; rough; shabby								
せいぜい	せいぜい	せいぜい	adv	at the most; at best								
精神	精神	せいしん	n	mind; soul; heart; spirit								
約～	約～	やく～	"adv
n"	approximately ～; about ～								
納得	納得[なっとく]	なっとく	n,vs	consent; agreement								
紐	紐[ひも]	ひも	n	string; cord								
級	級	きゅう	n,n-suf,ctr	class; grade; rank								
終える	終える	おえる	vt	to finish								
組	組	くみ	n,n-suf	group; class (of students)								
組む	組む	くむ	vt	to cross (legs or arms); to put together; to assemble								
組合	組合	くみあい	n	association; union								
組織	組織[そしき]	そしき	n,vs	organization; structure								
経つ	経つ	たつ	vi	to pass; to elapse								
経営	経営	けいえい	n,vs	management; administration								
経由	経由	けいゆ	n-adv	through; by way of; via								
結ぶ	結ぶ	むすぶ	vt	to tie; to bind								
結局	結局	けっきょく	adv	after all; ultimately								
結果	結果	けっか	n	result; consequence; outcome								
結論	結論	けつろん	n,vs	conclusion								
給料	給料	きゅうりょう	n	salary; wages								
絵画	絵画	かいが	n	painting								
絶対	絶対	ぜったい	adv	absolutely; unconditionally								
絶滅	絶滅[ぜつめつ]	ぜつめつ	n,vs	extinction; extermination								
続き	続き	つづき	n,n-suf	continuation; succession								
維持	維持[いじ]	いじ	n,vs	maintenance; preservation								
縄	縄[なわ]	なわ	n	rope; cord								
繋ぐ	繋[つな]ぐ	つなぐ	vt	to connect; to link together								
繰り返す	繰[く]り 返[かえ]す	くりかえす	vt,vi	to repeat								
缶	缶[かん]	かん	n	can; tin								
罪	罪	つみ	n,adj-na,adj-no	crime; sin								
罰する	罰[ばっ]する	ばっする	vt	to punish; to penalize								
署名	署名	しょめい	n,vs	signature								
罹る（かかる）	罹る（かかる）[かかる]	かかる	vi	to contract (a disease); to suffer from								
美人	美人	びじん	n	beautiful woman								
義務	義務[ぎむ]	ぎむ	n,adj-no	duty; obligation								
羽	羽[はね]	はね	n	feather								
翼	翼[つばさ]	つばさ	n	wing								
老い	老い	おい	n	old age; old person								
老人	老人	ろうじん	n,adj-no	old person								
考え	考え	かんがえ	n	thought; idea; opinion								
考慮	考慮[こうりょ]	こうりょ	n,vs	consideration; taking into account								
者	者	もの	n	person								
職	職	しょく	n,n-suf	job; work; occupation								
職場	職場	しょくば	n	place of work								
職業	職業	しょくぎょう	n,adj-no	occupation								
肩	肩[かた]	かた	n	shoulder								
育つ	育つ	そだつ	vi	to be raised; to be brought up								
胸	胸[むね]	むね	n	chest								
能力	能力	のうりょく	n	ability; faculty								
脇	脇[わき]	わき	n	armpit; side; flank								
腐る	腐[くさ]る	くさる	vi	to spoil; to go bad								
腹	腹	はら	n	stomach								
膝	膝[ひざ]	ひざ	n	knee								
自信	自信	じしん	n,vs	self-confidence; confidence								
自動	自動	じどう	adj-no,n	automatic								
自慢	自慢[じまん]	じまん	n,vs,adj-no	boast								
自殺	自殺	じさつ	n,adj-no,vs	suicide								
自身	自身	じしん	n	(by) oneself								
至る	至[いた]る	いたる	vi	to arrive at; to reach; to come; to result in								
舌	舌[した]	した	n	tongue								
航空	航空[こうくう]	こうくう	n,adj-no	aviation; flying								
芝居	芝居[しばい]	しばい	n	play; drama								
芝生	芝生[しばふ]	しばふ	n,adj-no	lawn								
芸術	芸術[げいじゅつ]	げいじゅつ	n	fine arts								
芽	芽[め]	め	n	sprout								
若者	若者	わかもの	n,adj-no	young person								
苦しい	苦しい	くるしい	adj-i	difficult; agonizing; painful								
苦しむ	苦しむ	くるしむ	vi	to suffer								
苦労	苦労	くろう	n,vs	hardship; labour; toil								
苦手	苦手	にがて	adj-na,n	poor (at); weak (in); dislike (of)								
苦痛	苦痛	くつう	adj-na,n,adj-no	pain; agony								
莫大	莫大[ばくだい]	ばくだい	adj-na,n	enormous; vast								
著者	著者[ちょしゃ]	ちょしゃ	n	author; writer								
虎	虎[とら]	とら	n	tiger								
虫歯	虫歯	むしば	n	cavity; tooth decay								
～行き	～行き	～ゆき	suf	bound for ～								
行き	行き	いき	n	the way there; outbound leg								
行儀	行儀[ぎょうぎ]	ぎょうぎ	n	manners; behavior								
行動	行動	こうどう	n,vs,adj-no	action; conduct								
衛星	衛星[えいせい]	えいせい	n,adj-no	satellite								
衣服	衣服	いふく	n	clothes								
表す	表す	あらわす	vt	to represent; to signify; to show; to display								
表情	表情	ひょうじょう	n	facial expression								
表現	表現	ひょうげん	n,vs	expression; notation								
表面	表面	ひょうめん	n,adj-no	surface; exterior								
袋	袋	ふくろ	n	bag; pouch								
袖	袖[そで]	そで	n	sleeve								
装置	装置[そうち]	そうち	n,vs	equipment; device								
裏切る	裏切る	うらぎる	vt	to betray								
裸	裸[はだか]	はだか	n,adj-no	naked								
製造	製造	せいぞう	n,vs,adj-no	manufacture								
要点	要点	ようてん	n	gist; main point								
要素	要素[ようそ]	ようそ	n	component; factor; item								
覆う	覆[おお]う	おおう	vt	to cover; to hide								
見事	見事	みごと	adj-na	splendid; magnificent								
見当	見当	けんとう	n	estimate; guess								
見解	見解	けんかい	n	opinion; point of view								
見送り	見送り	みおくり	n	seeing one off; farewell								
覚ます	覚ます	さます	vt	to awaken; to arouse from sleep								
覚める	覚める	さめる	vi	to wake; to wake up								
覚悟	覚悟[かくご]	かくご	n,vs	readiness; preparedness								
親しい	親しい	したしい	adj-i	close; familiar; intimate								
親戚	親戚[しんせき]	しんせき	n	relative; kin								
観光	観光	かんこう	n,vs,adj-no	sightseeing								
観察	観察	かんさつ	n,vs	observation								
解決	解決	かいけつ	n,vs	solution; resolution								
解釈	解釈[かいしゃく]	かいしゃく	n,vs	explanation; interpretation								
触れる	触[ふ]れる	ふれる	vi	to touch; to touch on a subject; to come in contact with								
言わば	言わば	いわば	adv	so to speak; so to call it								
言語	言語	げんご	n	language								
計る	計る	はかる	vt	to measure; to weigh								
計算	計算[けいさん]	けいさん	n,vs	calculation								
訓練	訓練[くんれん]	くんれん	n,vs	training; drill								
記事	記事	きじ	n	article; news story								
記入	記入	きにゅう	n,vs	entry; filling in; filling out								
記念	記念	きねん	n,vs	commemoration; memory								
記憶	記憶[きおく]	きおく	n,vs	memory; recollection								
記者	記者	きしゃ	n,adj-no	reporter								
記録	記録	きろく	n,vs	record; document								
訪問	訪問	ほうもん	n,vs,adj-no	call; visit								
設計	設計[せっけい]	せっけい	n,vs	plan; design								
許可	許可[きょか]	きょか	n,vs	permission; approval								
訳	訳[わけ]	わけ	n	reason; excuse								
訴える	訴[うった]える	うったえる	vt	to raise; to bring to (someone's attention)								
診察	診察[しんさつ]	しんさつ	n,vs	medical examination								
評価	評価[ひょうか]	ひょうか	n,vs	assessment; evaluation								
試し	試し	ためし	n	trial; test								
詩	詩[し]	し	n	poem; verse								
詩人	詩人[しじん]	しじん	n	poet								
詰める	詰[つ]める	つめる	vt	to stuff into; to fill								
話し合う	話し合う	はなしあう	v5u,vt	to discuss; to talk together								
話題	話題	わだい	n,adj-no	topic; subject								
詳しい	詳[くわ]しい	くわしい	adj-i	detailed								
誇り	誇[ほこ]り	ほこり	n	pride								
認める	認める	みとめる	vt	to recognize; to approve; to allow								
誕生	誕生[たんじょう]	たんじょう	n,vs	birth; creation; formation								
誘う	誘[さそ]う	さそう	vt	to invite; to ask (someone to do)								
語	語	ご	n,n-suf	language								
語学	語学	ごがく	n	study of language; linguistics								
誤り	誤り	あやまり	n	error; mistake								
説	説	せつ	n,n-suf	theory; doctrine								
読み	読み	よみ	n	reading								
調子	調子	ちょうし	n	tone; pitch; mood; manner								
請求	請求	せいきゅう	n,vs	billing (for a service); claim								
論じる	論じる	ろんじる	vt	to discuss; to deal with (a topic); to dispute								
論争	論争	ろんそう	n,vs	dispute; controversy								
諦める	諦[あきら]める	あきらめる	vt	to give up								
諺	諺[ことわざ]	ことわざ	n	proverb; saying								
謎	謎[なぞ]	なぞ	n	enigma; mystery								
講演	講演[こうえん]	こうえん	n,vs	lecture; speech								
警告	警告	けいこく	n,vs,adj-no	warning; disclaimer								
議会	議会	ぎかい	n	congress; legislative assembly								
議員	議員	ぎいん	n	member of the Diet								
議論	議論	ぎろん	n,vs	argument; discussion								
議長	議長	ぎちょう	n	chairman; speaker (e.g. of assembly)								
譲る	譲[ゆず]る	ゆずる	vt	to turn over; to yield								
谷	谷[たに]	たに	n	valley								
豆	豆[まめ]	まめ	n	legume; bean								
豊か	豊[ゆた]か	ゆたか	adj-na	abundant; pentiful								
豊富	豊富[ほうふ]	ほうふ	adj-na,n	abundance; wealth								
負け	負け	まけ	n	defeat; loss								
財産	財産	ざいさん	n	property; assets								
貢献	貢献[こうけん]	こうけん	n,vs	contribution								
貧しい	貧しい	まずしい	adj-i	poor; scanty; inadequate								
販売	販売	はんばい	n,vs	sales; selling								
責める	責める	せめる	vt	to blame; to criticize; to press; to persecute								
責任	責任	せきにん	n	responsibility								
貯金	貯金[ちょきん]	ちょきん	n,vs	savings; deposit (e.g. in a bank)								
貴重	貴重[きちょう]	きちょう	adj-na,n	precious; valuable								
費用	費用	ひよう	n	cost; expense								
資本	資本	しほん	n	funds; capital								
資源	資源[しげん]	しげん	n	resources								
賛成	賛成	さんせい	n,vs,adj-no	approval; agreement; support								
賞	賞	しょう	n,n-suf	prize; award								
賢い	賢[かしこ]い	かしこい	adj-i	clever; smart								
質	質	しつ	n,n-suf	quality; value								
贅沢	贅沢[ぜいたく]	ぜいたく	n,adj-na	luxury; extravagance								
起こる	起こる	おこる	vi	to occur; to happen								
越える	越える	こえる	vt	to exceed; to pass								
越す	越す	こす	vt	to cross over (e.g. mountain); to surpass								
足元	足元	あしもと	n,adj-no	at one's feet								
跡	跡[あと]	あと	n	trace; tracks; scar								
身	身	み	n	body; oneself								
身長	身長	しんちょう	n	height (of body)								
軍	軍[ぐん]	ぐん	n,n-suf	army								
軍隊	軍隊[ぐんたい]	ぐんたい	n	armed forces; military								
輝く	輝[かがや]く	かがやく	vi	to shine; to glitter; to sparkle								
輪	輪	わ	n	ring; circle; loop								
辞める	辞める	やめる	vt	to resign; to leave (one's job, etc.)								
農業	農業[のうぎょう]	のうぎょう	n,adj-no	agriculture								
農民	農民[のうみん]	のうみん	n,adj-no	farmer								
辺り	辺[あた]り	あたり	n	neighborhood; vicinity; nearby								
迎え	迎え	むかえ	n	meeting; greeting								
近代	近代	きんだい	n,adj-no	present day; modern times								
近頃	近頃[ちかごろ]	ちかごろ	n-adv,n	lately; recently								
述べる	述[の]べる	のべる	vt	to state; to mention								
迷惑	迷惑[めいわく]	めいわく	adj-na,n	trouble; annoyance								
追い付く	追い付く	おいつく	vi	to catch up (with); to draw level; to get to even								
追う	追う	おう	vt	to chase; to pursue; to follow								
退屈	退屈[たいくつ]	たいくつ	n,adj-na	tedium; boredom; dullness								
逆	逆[ぎゃく]	ぎゃく	adj-no,adj-na,n	opposite								
逆らう	逆[さか]らう	さからう	vi	to oppose; to defy								
通じる	通じる	つうじる	vi	to communicate (with); to be understood; to be connected								
通す	通す	とおす	vt	to let pass; to go through; to pass								
通り過ぎる	通り過ぎる	とおりすぎる	vi	to go past; to pass by								
通信	通信	つうしん	n,vs	correspondence; communication; transmission; signal								
通学	通学	つうがく	n,vs	commuting to school								
通行	通行	つうこう	n,vs	passage (of people, traffic)								
通過	通過	つうか	n,vs	passing through (e.g. train skipping a station); passing by								
速度	速度	そくど	n	speed; velocity								
連れ	連れ	つれ	n,vs	companion								
連想	連想	れんそう	n,vs,adj-no	association (of ideas)								
逮捕	逮捕[たいほ]	たいほ	n,vs	arrest; capture								
進学	進学	しんがく	n,vs	going on to a higher-level school								
遂に	遂[つい]に	ついに	adv	finally; in the end								
遅刻	遅刻	ちこく	n,vs,adj-no	being late								
運	運	うん	n	fortune; luck								
過ごす	過ごす	すごす	vt	to pass (time); to overdo								
過去	過去	かこ	n-adv,n	the past								
道徳	道徳[どうとく]	どうとく	n,adj-no	morals								
道路	道路	どうろ	n	road; highway								
達する	達する	たっする	vi	to reach; to arrive at								
違反	違反	いはん	n,vs	violation; offense								
適する	適する	てきする	vi	to fit; to suit								
適切	適切	てきせつ	adj-na,n	pertinent; appropriate								
適度	適度	てきど	adj-na,adj-no,n	proper amount; suitable								
適用	適用	てきよう	n,vs	application (e.g. a technology); adoption								
選択	選択[せんたく]	せんたく	n,vs	selection; choice								
避ける	避[さ]ける	さける	vt	to avoid								
部分	部分	ぶぶん	n	portion; section								
郵便	郵便	ゆうびん	n	postal service; mail								
都市	都市	とし	n,adj-no	town; city								
配達	配達	はいたつ	n,vs	delivery; distribution								
酔う	酔[よ]う	よう	vi	to become intoxicated; to feel sick (from movement in e.g. a boat, car)								
酸素	酸素[さんそ]	さんそ	n,adj-no	oxygen								
重大	重大	じゅうだい	adj-na,n	serious; important								
重要	重要	じゅうよう	adj-na,n	important; essential								
重視	重視[じゅうし]	じゅうし	n,vs	regard as important; put emphasis on								
野	野	の	n	plain; field								
量	量	りょう	n,n-suf	quantity; volume								
金属	金属[きんぞく]	きんぞく	n	metal								
金庫	金庫	きんこ	n	safe; strongbox								
金融	金融[きんゆう]	きんゆう	n,adj-no	finance; financing								
金銭	金銭[きんせん]	きんせん	n,adj-no	money; cash								
金額	金額	きんがく	n	amount of money								
針	針[はり]	はり	n	needle; pin; stinger; thorn								
鉄道	鉄道	てつどう	n	railroad; railway								
銀	銀	ぎん	n	Silver								
銃	銃[じゅう]	じゅう	n	gun; rifle								
銅貨	銅貨[どうか]	どうか	n	copper coin								
鋭い	鋭[するど]い	するどい	adj-i	(physically) sharp; pointed; (mentally) sharp; perceptive								
鎖	鎖[くさり]	くさり	n	chain								
長期的	長期的[ちょうきてき]	ちょうきてき	adj-na	long-term								
短期的	短期的[たんきてき]	たんきてき	adj-na	short-term								
短期	短期[たんき]	たんき	adj-no,n	short-term								
長期	長期	ちょうき	adj-no,n	long-term								
閉じる	閉じる	とじる	vt,vi	to close; to shut								
関する	関する	かんする	vi	to concern; to be related	予算に関する問題		the problem related to the budget	予算に関して、問題があります。		With concern to the budget, there is a problem.		
関心	関心	かんしん	n	interest; concern								
関連	関連	かんれん	n,adj-no,vs,suf	relation; connection								
防ぐ	防ぐ	ふせぐ	vt	to defend against; to prevent; to avoid								
降ろす	降ろす	おろす	vt	to take down; to lower; to unload								
限る	限る	かぎる	vt,vi	to restrict; to limit								
限界	限界	げんかい	n,adj-no	limit								
除く	除く	のぞく	vt	to remove; to eliminate; to exclude								
随分	随分[ずいぶん]	ずいぶん	adv,adv-to	very; surprisingly								
～際（さい）	～際（さい）	～さい	n-adv,n	on the occasion of ～								
障害	障害	しょうがい	n,vs	obstacle; handicap; disability								
隠す	隠[かく]す	かくす	vt	to hide; to conceal								
隠れる	隠[かく]れる	かくれる	vi	to be hidden								
集まり	集まり	あつまり	n	gathering; meeting								
集中	集中	しゅうちゅう	n,vs,adj-no	concentration								
集団	集団	しゅうだん	n	group; mass								
雇う	雇[やと]う	やとう	vt	to employ; to hire								
離す	離[はな]す	はなす	vt	to separate; to part; to let go								
離れる	離[はな]れる	はなれる	vi	to be separated; to go away; to leave								
離婚	離婚[りこん]	りこん	n,vs	divorce								
雰囲気	雰囲気[ふんいき]	ふんいき	n	mood; ambience; atmosphere								
雷	雷[かみなり]	かみなり	n	lightning; thunder								
電子	電子	でんし	adj	electronic								
需要	需要[じゅよう]	じゅよう	n	demand; request								
震える	震える	ふるえる	vi	to shiver; to shake								
霜	霜[しも]	しも	n	frost								
霧	霧[きり]	きり	n	fog; mist								
青年	青年	せいねん	n	youth								
非常	非常	ひじょう	n,adj-na,adj-no	emergency | extraordinary; unusual								
面（おもて）	面（おもて）	おもて	n	face; front side								
面（めん）	面（めん）	めん	n	face; mask								
面倒	面倒	めんどう	n,adj-na	trouble; bother								
革	革[かわ]	かわ	n	leather								
順	順[じゅん]	じゅん	n,n-suf	order; ranking								
順番	順番[じゅんばん]	じゅんばん	n	order; sequential order								
預ける	預ける	あずける	vt	to entrust; to deposit; to leave in one's care								
願い	願い	ねがい	n	request; desire								
願う	願う	ねがう	vt	to desire; to request								
飛ばす	飛ばす	とばす	vt	to fly; to fire; to launch; to omit; to skip over								
飛行	飛行	ひこう	n,vs	aviation; flying								
食う	食う	くう	vt	to eat (casual or masculine)								
食卓	食卓[しょくたく]	しょくたく	n,adj-no	dining table								
食品	食品	しょくひん	n	food products; foodstuffs								
食料	食料	しょくりょう	n	food								
食欲	食欲	しょくよく	n,adj-no	appetite (for food)								
食物	食物	しょくもつ	n,adj-no	food; foodstuff								
食糧	食糧[しょくりょう]	しょくりょう	n	provisions; food supply								
飯	飯	めし	n	cooked rice								
飽きる	飽[あ]きる	あきる	vi	to get tired of								
餌	餌[えさ]	えさ	n	feed; pet food; bait								
首相	首相	しゅしょう	n	Prime Minister; Chancellor								
首都	首都	しゅと	n,adj-no	capital city								
香り	香[かお]り	かおり	n	aroma								
バカ	バカ	バカ	n,adj-na	fool; idiot; stupid							Sometimes written in kanji 馬鹿	
駐車	駐車	ちゅうしゃ	n,vs,adj-no	parking (e.g. car)								
騒ぎ	騒[さわ]ぎ	さわぎ	n,n-suf	uproar								
骨折	骨折	こっせつ	n,vs	broken bone								
高価	高価	こうか	adj-na,n	high price								
高速	高速	こうそく	adj-na,n,adj-no	high speed								
髪の毛	髪[かみ]の 毛[け]	かみのけ	exp,n	hair (head)								
鬼	鬼[おに]	おに	n	oni; ogre; demon								
魅力	魅力[みりょく]	みりょく	n	charm; attraction; appeal								
黒板	黒板[こくばん]	こくばん	n	blackboard								
黙る	黙[だま]る	だまる	vi	to be silent; to say nothing								
ネズミ	ネズミ	ネズミ	n	(uk) mouse; rat | dark gray; dark grey; slate (color, colour)								
あっという間に	あっという間に	あっというまに	exp,adv	just like that; before you know it								
お気に入り	お気に入り	おきにいり	exp,adj-no	favorite; bookmark (e.g. on a web browser)								
こんなに	こんなに	こんなに	adv	like this; in this way								
そっと	そっと	そっと	adv,vs	quietly; secretly; stealthily								
ちゃんと	ちゃんと	ちゃんと	adv,vs	seriously; properly; exactly								
とんでもない	とんでもない	とんでもない	adj-i	unthinkable; outrageous; unexpected								
どんなに	どんなに	どんなに	adv	how; how much								
アイスクリーム	アイスクリーム	アイスクリーム	n	ice cream								
アイディア	アイディア	アイディア	n	idea								
アイロン	アイロン	アイロン	n	iron (clothes); hair iron								
アウト	アウト	アウト	adj-f	outer; external; outside								
アドバイス	アドバイス	アドバイス	n,vs	advice								
アニメ	アニメ	アニメ	n,adj-no	animated film; animated cartoon								
アルバム	アルバム	アルバム	n	album								
アレルギー	アレルギー	アレルギー	n,adj-no	allergy								
イベント	イベント	イベント	n	event								
インク	インク	インク	n,adj-no	ink								
ウイスキー	ウイスキー	ウイスキー	n	whisky; whiskey								
ウイルス	ウイルス	ウイルス	n,adj-no	virus								
エンジン	エンジン	エンジン	n	engine								
オフィス	オフィス	オフィス	n	office								
オリンピック	オリンピック	オリンピック	n	Olympics								
オープン	オープン	オープン	adj-na,n,vs	open								
カット	カット	カット	n,vs	cut; haircut; shuffle (cards)								
カフェ	カフェ	カフェ	n	cafe; coffeehouse								
カロリー	カロリー	カロリー	n,adj-no	calorie								
カード	カード	カード	n	card								
キャンセル	キャンセル	キャンセル	n,vs	cancel								
キャンプ	キャンプ	キャンプ	n,vs	camp								
クッキー	クッキー	クッキー	n	cookie								
クラシック音楽	クラシック音楽	クラシックおんがく	n	classical music								
クラスメイト	クラスメイト	クラスメイト	n	classmate								
クリスマス	クリスマス	クリスマス	n	Christmas								
クリーム	クリーム	クリーム	n	cream								
グラウンド	グラウンド	グラウンド	n	sports ground								
グラス	グラス	グラス	n	glass (drinking vessel)								
グルメ	グルメ	グルメ	n,adj-no	gourmet								
グレー	グレー	グレー	adj-na,n	grey								
グローバル	グローバル	グローバル	adj-na,n	global								
ケース	ケース	ケース	n	case								
ゲーム	ゲーム	ゲーム	n	game								
コアラ	コアラ	コアラ	n	koala								
コミュニケーション	コミュニケーション	コミュニケーション	n	communication								
コメディー	コメディー	コメディー	n	comedy								
コンタクトレンズ	コンタクトレンズ	コンタクトレンズ	n	contact lens								
コーチ	コーチ	コーチ	n,vs	coach								
コード	コード	コード	n	code; cord; chord								
ゴルフ	ゴルフ	ゴルフ	n	golf								
ゴール	ゴール	ゴール	n,vs	goal								
サイン	サイン	サイン	n,vs	autograph; signature								
サラリーマン	サラリーマン	サラリーマン	n	company employee								
サングラス	サングラス	サングラス	n	sunglasses								
サンタクロース	サンタクロース	サンタクロース	n	Santa Claus								
サークル	サークル	サークル	n	club (e.g. company sports club); group with common interests								
サービス	サービス	サービス	n,vs,adj-no	service								
システム	システム	システム	n,adj-no	system								
ジュース	ジュース	ジュース	n	juice								
ジーンズ	ジーンズ	ジーンズ	n	jeans								
スイッチ	スイッチ	スイッチ	n,vs	switch								
スキー	スキー	スキー	n	skiing; ski								
スケート	スケート	スケート	n,vs	skating; skates								
スタイル	スタイル	スタイル	n	figure; style								
スタッフ	スタッフ	スタッフ	n,adj-no	staff								
スタンド	スタンド	スタンド	n	stands; bleachers; stand (e.g. lemonade stand)								
ストレス	ストレス	ストレス	n	stress								
パスタ	パスタ	パスタ	n	pasta								
スピーチ	スピーチ	スピーチ	n	speech								
スピード	スピード	スピード	n	speed								
スープ	スープ	スープ	n	soup								
センター	センター	センター	n	center								
セール	セール	セール	n	sale								
タイトル	タイトル	タイトル	n	title								
タオル	タオル	タオル	n	towel								
ダイエット	ダイエット	ダイエット	n,vs	diet								
ダイヤ	ダイヤ	ダイヤ	n	diamond								
ダンス	ダンス	ダンス	n,vs	dance								
チーム	チーム	チーム	n	team								
チームワーク	チームワーク	チームワーク	n	teamwork								
テレビ局	テレビ局	テレビきょく	n	television station								
テント	テント	テント	n	tent								
テーマ	テーマ	テーマ	n	theme								
ディスカッション	ディスカッション	ディスカッション	n,vs	discussion								
ディナー	ディナー	ディナー	n	dinner								
トイレットペーパー	トイレットペーパー	トイレットペーパー	n	toilet paper								
トマト	トマト	トマト	n	tomato								
トラック	トラック	トラック	n,adj-no	truck								
トランプ	トランプ	トランプ	n	playing cards								
トレーニング	トレーニング	トレーニング	n,vs	training								
トンネル	トンネル	トンネル	n,vs	tunnel								
ドライブ	ドライブ	ドライブ	n,vs	drive; trip by car								
ドリンク	ドリンク	ドリンク	n	drink								
ドロドロ	ドロドロ	ドロドロ	adj-na,adv,n,adj-no	syrupy; thick consistency								
ニーズ	ニーズ	ニーズ	n	needs								
ノック	ノック	ノック	n,vs	knock (on a door)								
ハイキング	ハイキング	ハイキング	n	hiking								
ハム	ハム	ハム	n	ham								
ハンバーガー	ハンバーガー	ハンバーガー	n	hamburger (with bun)								
バイオリン	バイオリン	バイオリン	n	violin								
バイク	バイク	バイク	n	motorcycle								
バッグ	バッグ	バッグ	n	bag								
バドミントン	バドミントン	バドミントン	n	badminton								
バランス	バランス	バランス	n,vs	balance								
バレンタインデー	バレンタインデー	バレンタインデー	n	Valentine's Day								
バンド	バンド	バンド	n	band; musical group								
パイプ	パイプ	パイプ	n	pipe								
パイロット	パイロット	パイロット	n	pilot								
パス	パス	パス	n,vs	path; pass								
パスポート	パスポート	パスポート	n	passport								
パーセント	パーセント	パーセント	n	percent								
ヒット	ヒット	ヒット	n,vs	hit								
ビデオ	ビデオ	ビデオ	n	video								
ビール	ビール	ビール	n	beer								
ピアス	ピアス	ピアス	n	earrings								
ピクニック	ピクニック	ピクニック	n	picnic								
ピザ	ピザ	ピザ	n	pizza								
ピッチャー	ピッチャー	ピッチャー	n	pitcher								
ピン	ピン	ピン	n	pin								
ファイル	ファイル	ファイル	n,vs	file								
ファストフード	ファストフード	ファストフード	n	fast-food								
ファッション	ファッション	ファッション	n	fashion								
フルーツ	フルーツ	フルーツ	n	fruit								
ブレーキ	ブレーキ	ブレーキ	n	brake								
プライベート	プライベート	プライベート	adj-na,n	private								
プラグ	プラグ	プラグ	n	plug; connector								
プラス	プラス	プラス	n,vs	plus; addition; positive								
プレゼンテーション	プレゼンテーション	プレゼンテーション	n,vs	presentation								
プロ	プロ	プロ	n,adj-no	professional								
プロジェクター	プロジェクター	プロジェクター	n	projector								
プロジェクト	プロジェクト	プロジェクト	n	project								
ヘッドホン	ヘッドホン	ヘッドホン	n	headphone								
ベランダ	ベランダ	ベランダ	n	veranda; balcony								
ベルト	ベルト	ベルト	n	belt								
ベンチ	ベンチ	ベンチ	n	bench								
ホーム	ホーム	ホーム	n	platform (e.g. train) | home								
ホームステイ	ホームステイ	ホームステイ	n	homestay								
ホームページ	ホームページ	ホームページ	n	homepage								
ボウリング	ボウリング	ボウリング	n,vs	bowling								
ボウル	ボウル	ボウル	n	bowl								
ボート	ボート	ボート	n	boat								
ボール	ボール	ボール	n	ball								
マスク	マスク	マスク	n,vs	mask								
ママ	ママ	ママ	n	mama; mother								
マンション	マンション	マンション	n	apartment								
マーケット	マーケット	マーケット	n	market								
ミルク	ミルク	ミルク	n	milk								
メダル	メダル	メダル	n	medal								
メリット	メリット	メリット	n	merit								
メンバー	メンバー	メンバー	n	member								
モデル	モデル	モデル	n	model								
ユニフォーム	ユニフォーム	ユニフォーム	n	uniform								
ユーモア	ユーモア	ユーモア	n	humour								
ヨット	ヨット	ヨット	n	yacht								
ヨーグルト	ヨーグルト	ヨーグルト	n	yogurt								
ライター	ライター	ライター	n	lighter								
ライバル	ライバル	ライバル	n,adj-no	rival								
ラケット	ラケット	ラケット	n	racket								
ランニング	ランニング	ランニング	n	running								
リットル	リットル	リットル	n	litre								
レンタル	レンタル	レンタル	n,vs	rental								
ロケット	ロケット	ロケット	n	rocket								
ワイン	ワイン	ワイン	n	wine								
一人一人	一人一人	ひとりひとり	n,suf	one by one; one at a time								
一晩	一晩	ひとばん	n-adv,n	one night; | all night								
一気に	一気に	いっきに	adv	all at once; in one gulp								
上司	上司[じょうし]	じょうし	n	superior; boss								
不健康	不健康[ふけんこう]	ふけんこう	adj-na,n	unhealthy								
不可能	不可能[ふかのう]	ふかのう	adj-na,n	impossible								
不要	不要	ふよう	adj-na,n,adj-no	unnecessary								
中身	中身	なかみ	n,adj-no	contents; interior								
事	事	こと	n	thing; matter								
事前	事前	じぜん	n,adj-no	beforehand; in advance								
人事	人事	じんじ	n,adj-no	human resources; HR								
人数	人数	にんずう	n	number of people								
人生	人生	じんせい	n	life; one's lifetime								
人間関係	人間関係	にんげんかんけい	n,adj-no	human relations								
他社	他社	たしゃ	n	another company								
付き合う	付き合う	つきあう	vi	to associate with; to socialize with								
付ける	付ける	つける	vt	to attach; to join; to apply								
休日	休日	きゅうじつ	n	holiday; day off								
体調	体調	たいちょう	n	physical condition; state of health								
何か	何か	なにか	exp	something								
何で	何で	なんで	adv	why								
何でも	何でも	なんでも	adv	anything								
何とか	何とか	なんとか	adv	somehow; anyhow								
余り	余り	あまり、あんまり	adj-na,adv,adj-no,n,n-suf	remainder; balance; left over								
例年	例年	れいねん	n-adv,n	ordinay year								
