生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
改善<div class="hint">improvement</div>,かいぜん,improvement,<ruby>彼<rt>かれ</rt></ruby>は <ruby>食生活<rt>しょくせいかつ</rt></ruby>を <ruby>改善<rt>かいぜん</rt></ruby>しました。,He has improved his eating habits.
放す<div class="hint">to release; to let go</div>,はなす,to release; to let go,<ruby>公園<rt>こうえん</rt></ruby>で <ruby>犬<rt>いぬ</rt></ruby>を <ruby>放<rt>はな</rt></ruby>したの。,I let my dog run freely in the park.
政府<div class="hint">government</div>,せいふ,government,そのデモについて <ruby>政府<rt>せいふ</rt></ruby>は <ruby>何<rt>なに</rt></ruby>もしなかった。,The government didn't do anything about the demonstration.
救う<div class="hint">to rescue from; to save</div>,すくう,to rescue from; to save,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>通<rt>とお</rt></ruby>りがかりの <ruby>人<rt>ひと</rt></ruby>に <ruby>救<rt>すく</rt></ruby>われたよ。,She was saved by a passing stranger.
救助<div class="hint">relief; aid</div>,きゅうじょ,relief; aid,プールで <ruby>男<rt>おとこ</rt></ruby>の <ruby>子<rt>こ</rt></ruby>が <ruby>救助<rt>きゅうじょ</rt></ruby>されました。,A boy was rescued in the swimming pool.
教授<div class="hint">professor</div>,きょうじゅ,professor,<ruby>彼<rt>かれ</rt></ruby>は <ruby>化学<rt>かがく</rt></ruby>の <ruby>教授<rt>きょうじゅ</rt></ruby>です。,He's a chemistry professor.
教科書<div class="hint">textbook; coursebook; schoolbook</div>,きょうかしょ,textbook; coursebook; schoolbook,<ruby>日本語<rt>にほんご</rt></ruby>の <ruby>教科書<rt>きょうかしょ</rt></ruby>を <ruby>忘<rt>わす</rt></ruby>れた。,I forgot my Japanese textbook.
敬意<div class="hint">respect; honor</div>,けいい,respect; honor,<ruby>国王<rt>こくおう</rt></ruby>への <ruby>敬意<rt>けいい</rt></ruby>を <ruby>表<rt>あら</rt></ruby>わす。,Respect for the king is shown.
数字<div class="hint">(math) numeral; digit; number</div>,すうじ,(math) numeral; digit; number,<ruby>数字<rt>すうじ</rt></ruby>は <ruby>苦手<rt>にがて</rt></ruby>です。,I'm not good with numbers.
整理<div class="hint">putting in order; organization; adjustment; regulation</div>,せいり,putting in order; organization; adjustment; regulation,<ruby>古<rt>ふる</rt></ruby>い <ruby>服<rt>ふく</rt></ruby>を <ruby>整理<rt>せいり</rt></ruby>しました。,I sorted out the old clothes.
文<div class="hint">sentence; text</div>,ぶん,sentence; text,この <ruby>文<rt>ぶん</rt></ruby>は <ruby>意味<rt>いみ</rt></ruby>が <ruby>分<rt>わ</rt></ruby>かりません。,I don't understand the meaning of this sentence.
文明<div class="hint">civilization; culture</div>,ぶんめい,civilization; culture,<ruby>多<rt>おお</rt></ruby>くの <ruby>文明<rt>ぶんめい</rt></ruby>は <ruby>川<rt>かわ</rt></ruby>の <ruby>近<rt>ちか</rt></ruby>くで <ruby>始<rt>はじ</rt></ruby>まった。,A lot of civilizations started near rivers.
料金<div class="hint">fee; charge</div>,りょうきん,fee; charge,まだ <ruby>料金<rt>りょうきん</rt></ruby>は <ruby>払<rt>はら</rt></ruby>っていないけど。,I haven't paid the fee yet; though.
新た<div class="hint">new; novel</div>,あらた,new; novel,<ruby>新<rt>あら</rt></ruby>たな <ruby>計画<rt>けいかく</rt></ruby>が <ruby>進<rt>すす</rt></ruby>んでいます。,A new plan is in progress.
方向<div class="hint">direction; orientation</div>,ほうこう,direction; orientation,あの <ruby>人<rt>ひと</rt></ruby>たちは <ruby>皆<rt>みな</rt></ruby>、 <ruby>同<rt>おな</rt></ruby>じ <ruby>方向<rt>ほうこう</rt></ruby>を <ruby>見<rt>み</rt></ruby>ている。,Those people are all looking at the same direction.
旅<div class="hint">trip; journey</div>,たび,trip; journey,<ruby>姉<rt>あね</rt></ruby>はよく <ruby>旅<rt>たび</rt></ruby>をします。,My big sister travels a lot.
旗<div class="hint">flag</div>,はた,flag,<ruby>旗<rt>はた</rt></ruby>が <ruby>風<rt>かぜ</rt></ruby>に <ruby>揺<rt>ゆ</rt></ruby>れている。,The flag is waving in the wind.
日中<div class="hint">daytime; during the day</div>,にっちゅう,daytime; during the day,<ruby>日中<rt>にっちゅう</rt></ruby>はずっと <ruby>海<rt>うみ</rt></ruby>で <ruby>泳<rt>およ</rt></ruby>いでいました。,I swam in the sea all day long.
日付<div class="hint">date</div>,ひづけ,date,,
日光<div class="hint">sunlight</div>,にっこう,sunlight,この <ruby>部屋<rt>へや</rt></ruby>は <ruby>日光<rt>にっこう</rt></ruby>がよく <ruby>当<rt>あ</rt></ruby>たるね。,This room gets quite a lot of sunshine.
日常<div class="hint">ordinary; usual; regular</div>,にちじょう,ordinary; usual; regular,<ruby>音楽<rt>おんがく</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>日常<rt>にちじょう</rt></ruby>の <ruby>一部<rt>いちぶ</rt></ruby>です。,Music is part of my daily life.
明かり<div class="hint">illumination</div>,あかり,illumination,<ruby>部屋<rt>へや</rt></ruby>の <ruby>明<rt>あ</rt></ruby>かりをつけましょう。,Let's turn on the room light.
明ける<div class="hint">to empty; to make space | to dawn; to grow light</div>,あける,to empty; to make space | to dawn; to grow light,もうすぐ <ruby>夜<rt>よ</rt></ruby>が <ruby>明<rt>あ</rt></ruby>けるね。,Dawn will break soon.
明らか<div class="hint">obvious; evident; clear</div>,あきらか,obvious; evident; clear,<ruby>明<rt>あき</rt></ruby>らかに <ruby>彼<rt>かれ</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>い。,It's clearly his fault.
明確<div class="hint">precise; definite</div>,めいかく,precise; definite,<ruby>彼女<rt>かのじょ</rt></ruby>には <ruby>明確<rt>めいかく</rt></ruby>な <ruby>目標<rt>もくひょう</rt></ruby>があるね。,She has a clear and specific goal.
昼食<div class="hint">lunch</div>,ちゅうしょく,lunch,<ruby>昼食<rt>ちゅうしょく</rt></ruby>に <ruby>寿司<rt>すし</rt></ruby>を <ruby>食<rt>た</rt></ruby>べました。,I ate sushi for lunch.
時（とき）<div class="hint">time; occasion</div>,とき,time; occasion,,
時刻<div class="hint">time (shown on a clock)</div>,じこく,time (shown on a clock),ただ <ruby>今<rt>いま</rt></ruby>の <ruby>時刻<rt>じこく</rt></ruby>は６ <ruby>時<rt>じ</rt></ruby>３５ <ruby>分<rt>ふん</rt></ruby>です。,The time now is 6:35.
普段<div class="hint">usual; everyday</div>,ふだん,usual; everyday,<ruby>私<rt>わたし</rt></ruby>は <ruby>普段<rt>ふだん</rt></ruby>はＴシャツとジーンズを <ruby>着<rt>き</rt></ruby>ています。,I usually wear a T-shirt and jeans.
景気<div class="hint">business conditions; economic climate</div>,けいき,business conditions; economic climate,<ruby>景気<rt>けいき</rt></ruby>が <ruby>回復<rt>かいふく</rt></ruby>してきたね。,The economy is recovering.
暗記<div class="hint">memorization</div>,あんき,memorization,<ruby>試験<rt>しけん</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>に <ruby>英文<rt>えいぶん</rt></ruby>を <ruby>暗記<rt>あんき</rt></ruby>したんだ。,I memorized the English text before the exam.
暮らし<div class="hint">living; life circumstances</div>,くらし,living; life circumstances,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby>の <ruby>暮<rt>く</rt></ruby>らしを <ruby>楽<rt>たの</rt></ruby>しんでいますね。,She's enjoying her daily life.
暮らす<div class="hint">to live; to get along</div>,くらす,to live; to get along,<ruby>将来<rt>しょうらい</rt></ruby>は <ruby>海<rt>うみ</rt></ruby>の <ruby>近<rt>ちか</rt></ruby>くで <ruby>暮<rt>く</rt></ruby>らしたいな。,I want to live near the sea in the future.
暮れ<div class="hint">sunset; end; close</div>,くれ,sunset; end; close,<ruby>暮<rt>く</rt></ruby>れは <ruby>用事<rt>ようじ</rt></ruby>が <ruby>多<rt>おお</rt></ruby>くて <ruby>忙<rt>いそが</rt></ruby>しいです。,I'm busy with a lot of things at the end of the year.
更に<div class="hint">furthermore; moreover</div>,さらに,furthermore; moreover,<ruby>彼<rt>かれ</rt></ruby>は <ruby>更<rt>さら</rt></ruby>に <ruby>質問<rt>しつもん</rt></ruby>を <ruby>続<rt>つづ</rt></ruby>けたの。,He further raised more questions.
書物<div class="hint">books</div>,しょもつ,books,<ruby>彼<rt>かれ</rt></ruby>は <ruby>書物<rt>しょもつ</rt></ruby>に <ruby>囲<rt>かこ</rt></ruby>まれて <ruby>生活<rt>せいかつ</rt></ruby>しているの。,He leads a life surrounded by books.
書類<div class="hint">documents; official papers</div>,しょるい,documents; official papers,<ruby>書類<rt>しょるい</rt></ruby>を１０ <ruby>枚<rt>まい</rt></ruby>コピーしました。,I made ten copies of the document.
最低<div class="hint">least; lowest; worst</div>,さいてい,least; lowest; worst,これは <ruby>今<rt>いま</rt></ruby>までで <ruby>最低<rt>さいてい</rt></ruby>の <ruby>記録<rt>きろく</rt></ruby>だ。,This is the worst record so far.
最終<div class="hint">last; final</div>,さいしゅう,last; final,<ruby>東京<rt>とうきょう</rt></ruby> <ruby>行<rt>い</rt></ruby>きの <ruby>最終<rt>さいしゅう</rt></ruby> <ruby>電車<rt>でんしゃ</rt></ruby>は <ruby>何<rt>なん</rt></ruby> <ruby>時<rt>じ</rt></ruby>ですか。,What time is the last train for Tokyo?
有利<div class="hint">advantageous; profitable</div>,ゆうり,advantageous; profitable,<ruby>資格<rt>しかく</rt></ruby>があると <ruby>就職<rt>しゅうしょく</rt></ruby>に <ruby>有利<rt>ゆうり</rt></ruby>です。,Having qualifications is an advantage when looking for a job.
有効<div class="hint">effective</div>,ゆうこう,effective,<ruby>私<rt>わたし</rt></ruby>の <ruby>免許<rt>めんきょ</rt></ruby>は <ruby>来年<rt>らいねん</rt></ruby>まで <ruby>有効<rt>ゆうこう</rt></ruby>です。,My license is valid until next year.
有能<div class="hint">able; capable</div>,ゆうのう,able; capable,<ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>有能<rt>ゆうのう</rt></ruby>な <ruby>部下<rt>ぶか</rt></ruby>です。,She's a very capable subordinate.
服装<div class="hint">garments; attire</div>,ふくそう,garments; attire,そのパーティーはカジュアルな <ruby>服装<rt>ふくそう</rt></ruby>で <ruby>大丈夫<rt>だいじょうぶ</rt></ruby>です。,Casual attire will be appropriate for the party.
望み<div class="hint">wish; desire</div>,のぞみ,wish; desire,<ruby>私<rt>わたし</rt></ruby>の <ruby>望<rt>のぞ</rt></ruby>みは <ruby>海外<rt>かいがい</rt></ruby>で <ruby>暮<rt>く</rt></ruby>らすことです。,I want to live abroad.
望む<div class="hint">to desire; to wish for</div>,のぞむ,to desire; to wish for,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>との <ruby>結婚<rt>けっこん</rt></ruby>を <ruby>望<rt>のぞ</rt></ruby>んでいます。,He wants to marry me.
期間<div class="hint">period; term</div>,きかん,period; term,テスト <ruby>期間<rt>きかん</rt></ruby>は１０ <ruby>日<rt>か</rt></ruby>から１５ <ruby>日<rt>にち</rt></ruby>までだ。,The exam period is from the 10th to the 15th.
未来<div class="hint">the future</div>,みらい,the future,<ruby>未来<rt>みらい</rt></ruby>は <ruby>誰<rt>だれ</rt></ruby>にも <ruby>分<rt>わ</rt></ruby>からない。,No one knows the future.
末（すえ）<div class="hint">tip; end</div>,すえ,tip; end,,
末（まつ）<div class="hint">the end of</div>,まつ,the end of,,
本人<div class="hint">the person themselves</div>,ほんにん,the person themselves,それは <ruby>本人<rt>ほんにん</rt></ruby>に <ruby>聞<rt>き</rt></ruby>いてください。,Please ask the person in question.
本物<div class="hint">genuine article; real thing</div>,ほんもの,genuine article; real thing,これは <ruby>本物<rt>ほんもの</rt></ruby>のダイヤモンドです。,This is a real diamond.
札<div class="hint">paper money</div>,さつ,paper money,<ruby>彼<rt>かれ</rt></ruby>はカバンから <ruby>札<rt>さつ</rt></ruby>の <ruby>束<rt>たば</rt></ruby>を <ruby>取<rt>と</rt></ruby>り <ruby>出<rt>だ</rt></ruby>したんだ。,He took a bundle of cash out of his bag.
材料<div class="hint">ingredients; materials</div>,ざいりょう,ingredients; materials,サラダの <ruby>材料<rt>ざいりょう</rt></ruby>をそろえました。,I have all the ingredients for the salad.
松<div class="hint">pine tree</div>,まつ,pine tree,あの <ruby>松の<ruby>木<rt>まつのき</rt></ruby>は <ruby>立派<rt>りっぱ</rt></ruby>ですね。,That pine tree is fantastic.
板<div class="hint">board; plank</div>,いた,board; plank,<ruby>父<rt>ちち</rt></ruby>は <ruby>長<rt>なが</rt></ruby>い <ruby>板<rt>いた</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってきたんだ。,My father bought a long plank.
株<div class="hint">stock; stump; stock (share of a company)</div>,かぶ,stock; stump; stock (share of a company),<ruby>最近<rt>さいきん</rt></ruby> <ruby>株<rt>かぶ</rt></ruby>を <ruby>始<rt>はじ</rt></ruby>めました。,I recently started investing in stocks.
案<div class="hint">idea; thought</div>,あん,idea; thought,もっと <ruby>案<rt>あん</rt></ruby>を <ruby>出<rt>だ</rt></ruby>し <ruby>合<rt>あ</rt></ruby>いましょう。,Let's share more ideas.
桜<div class="hint">cherry tree; cherry blossom</div>,さくら,cherry tree; cherry blossom,<ruby>桜<rt>さくら</rt></ruby>は <ruby>三月<rt>さんがつ</rt></ruby>か <ruby>四月<rt>しがつ</rt></ruby>に <ruby>咲<rt>さ</rt></ruby>きます。,Cherry blossoms bloom in March or April.
梅<div class="hint">Japanese apricot</div>,うめ,Japanese apricot,<ruby>梅<rt>うめ</rt></ruby>の <ruby>花<rt>はな</rt></ruby>が <ruby>咲<rt>さ</rt></ruby>きました。,Plum blossoms have bloomed.
棒<div class="hint">pole; rod; stick</div>,ぼう,pole; rod; stick,この <ruby>棒<rt>ぼう</rt></ruby>は <ruby>何<rt>なに</rt></ruby>に <ruby>使<rt>つか</rt></ruby>うのですか。,What do you use this stick for?
植物<div class="hint">plant; vegetation</div>,しょくぶつ,plant; vegetation,<ruby>休日<rt>きゅうじつ</rt></ruby>は <ruby>植物<rt>しょくぶつ</rt></ruby>の <ruby>世話<rt>せわ</rt></ruby>をして <ruby>過<rt>す</rt></ruby>ごします。,I spend my days off taking care of my plants.
検討<div class="hint">consideration</div>,けんとう,consideration,<ruby>今日<rt>きょう</rt></ruby> <ruby>中<rt>じゅう</rt></ruby>にこの <ruby>問題<rt>もんだい</rt></ruby>を <ruby>検討<rt>けんとう</rt></ruby>してください。,Please examine and consider this problem by the end of the day.
楽<div class="hint">comfort; ease</div>,らく,comfort; ease,<ruby>彼<rt>かれ</rt></ruby>には <ruby>楽<rt>らく</rt></ruby>な <ruby>仕事<rt>しごと</rt></ruby>が <ruby>与<rt>あた</rt></ruby>えられたよ。,They gave him an easy job.
構成<div class="hint">organization; configuration</div>,こうせい,organization; configuration,システムの <ruby>構成<rt>こうせい</rt></ruby>を <ruby>変<rt>か</rt></ruby>えてみました。,I've reorganized the system.
様々<div class="hint">various</div>,さまざま,various,その <ruby>都市<rt>とし</rt></ruby>には <ruby>様々<rt>さまざま</rt></ruby>な <ruby>人種<rt>じんしゅ</rt></ruby>が <ruby>集<rt>あつ</rt></ruby>まっているわ。,The city has a variety of racial groups.
模様<div class="hint">model; pattern; example</div>,もよう,model; pattern; example,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>水玉<rt>みずたま</rt></ruby> <ruby>模様<rt>もよう</rt></ruby>のスカートをはいているね。,She's wearing a skirt with polka dots.
権利<div class="hint">right; privilege</div>,けんり,right; privilege,<ruby>私<rt>わたし</rt></ruby>たちには <ruby>知<rt>し</rt></ruby>る <ruby>権利<rt>けんり</rt></ruby>があります。,We have the right to know.
横切る<div class="hint">to cross (e.g. road)</div>,よこぎる,to cross (e.g. road),<ruby>目<rt>め</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>を <ruby>猫<rt>ねこ</rt></ruby>が <ruby>横切<rt>よこぎ</rt></ruby>ったんだ。,A cat cut across in front of me.
横断<div class="hint">crossing; traversing</div>,おうだん,crossing; traversing,<ruby>道路<rt>どうろ</rt></ruby>を <ruby>横断<rt>おうだん</rt></ruby>するときは <ruby>注意<rt>ちゅうい</rt></ruby>して。,Be careful when crossing the road.
機械<div class="hint">machine; apparatus</div>,きかい,machine; apparatus,<ruby>新<rt>あたら</rt></ruby>しい <ruby>機械<rt>きかい</rt></ruby>が <ruby>壊<rt>こわ</rt></ruby>れた。,The new machine broke.
機関<div class="hint">agency; institution; system; facility</div>,きかん,agency; institution; system; facility,<ruby>台風<rt>たいふう</rt></ruby>で <ruby>交通<rt>こうつう</rt></ruby> <ruby>機関<rt>きかん</rt></ruby>がストップしている。,Transportation has stopped in the typhoon.
欠ける<div class="hint">to be chipped; to be broken | to be lacking; to be insufficient</div>,かける,to be chipped; to be broken | to be lacking; to be insufficient,お <ruby>気<rt>き</rt></ruby>に <ruby>入<rt>い</rt></ruby>りのカップが <ruby>欠<rt>か</rt></ruby>けてしまいました。,My favorite cup has been chipped.
欠点<div class="hint">defect; flaw; weak point</div>,けってん,defect; flaw; weak point,<ruby>欠点<rt>けってん</rt></ruby>のない <ruby>人間<rt>にんげん</rt></ruby>はいません。,Everyone has flaws.
欠陥<div class="hint">defect; deficiency; shortage</div>,けっかん,defect; deficiency; shortage,その <ruby>製品<rt>せいひん</rt></ruby>に <ruby>欠陥<rt>けっかん</rt></ruby>が <ruby>見<rt>み</rt></ruby>つかりました。,I found a defect in the product.
次々<div class="hint">in succession; one by one</div>,つぎつぎ,in succession; one by one,,
歓迎<div class="hint">welcome; reception</div>,かんげい,welcome; reception,<ruby>温<rt>あたた</rt></ruby>かい <ruby>歓迎<rt>かんげい</rt></ruby>を <ruby>受<rt>う</rt></ruby>けました。,I received a warm welcome.
止す<div class="hint">to cease; to desist; to abolish</div>,よす,to cease; to desist; to abolish,,
正<div class="hint">(logical) true; regular</div>,せい,(logical) true; regular,<ruby>書類<rt>しょるい</rt></ruby>は <ruby>正<rt>せい</rt></ruby>と <ruby>副<rt>ふく</rt></ruby>の２ <ruby>通<rt>つう</rt></ruby>あります。,The documents consist of the original and a copy.
正午<div class="hint">noon; mid-day</div>,しょうご,noon; mid-day,<ruby>昼休<rt>ひるやす</rt></ruby>みは <ruby>正午<rt>しょうご</rt></ruby>からです。,The lunch break is from noon.
正式<div class="hint">official; formality</div>,せいしき,official; formality,<ruby>正式<rt>せいしき</rt></ruby>な <ruby>招待<rt>しょうたい</rt></ruby> <ruby>状<rt>じょう</rt></ruby>を <ruby>受<rt>う</rt></ruby>け <ruby>取<rt>と</rt></ruby>りました。,I received a formal invitation.
武器<div class="hint">weapon; arms</div>,ぶき,weapon; arms,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>武器<rt>ぶき</rt></ruby>を <ruby>取<rt>と</rt></ruby>り、 <ruby>立<rt>た</rt></ruby>ち <ruby>上<rt>あ</rt></ruby>がった。,They took arms and stood up.
歩道<div class="hint">walkway; sidewalk</div>,ほどう,walkway; sidewalk,<ruby>歩道<rt>ほどう</rt></ruby>を <ruby>歩<rt>ある</rt></ruby>きましょう。,Let's walk on the pavement.
死亡<div class="hint">to die; to pass away</div>,しぼう,to die; to pass away,その <ruby>事故<rt>じこ</rt></ruby>では <ruby>二人<rt>ふたり</rt></ruby> <ruby>死亡<rt>しぼう</rt></ruby>したの。,Two people died in the accident.
残す<div class="hint">to leave (behind; over)</div>,のこす,to leave (behind; over),<ruby>彼女<rt>かのじょ</rt></ruby>はメッセージを <ruby>残<rt>のこ</rt></ruby>しました。,She left a message.
段<div class="hint">step; stair; rank; level</div>,だん,step; stair; rank; level,この <ruby>階段<rt>かいだん</rt></ruby>は１８ <ruby>段<rt>だん</rt></ruby>ありますね。,This staircase has 18 steps.
殺す<div class="hint">to kill</div>,ころす,to kill,<ruby>私<rt>わたし</rt></ruby>は <ruby>生<rt>い</rt></ruby>き <ruby>物<rt>もの</rt></ruby>を <ruby>殺<rt>ころ</rt></ruby>すのが <ruby>嫌<rt>きら</rt></ruby>いだ。,I hate killing living things.
母親<div class="hint">mother</div>,ははおや,mother,<ruby>彼女<rt>かのじょ</rt></ruby>は２ <ruby>才<rt>さい</rt></ruby>の <ruby>子<rt>こ</rt></ruby>の <ruby>母親<rt>ははおや</rt></ruby>です。,She's a mother of a two-year-old kid.
毒<div class="hint">poison</div>,どく,poison,<ruby>飲<rt>の</rt></ruby>み <ruby>過<rt>す</rt></ruby>ぎは <ruby>体<rt>からだ</rt></ruby>に <ruby>毒<rt>どく</rt></ruby>ですよ。,Drinking too much can harm your body.
比較<div class="hint">comparison</div>,ひかく,comparison,<ruby>去年<rt>きょねん</rt></ruby>の <ruby>売<rt>う</rt></ruby>り <ruby>上<rt>あ</rt></ruby>げと <ruby>比較<rt>ひかく</rt></ruby>しましょう。,Let's compare it with last year's sales.
毛布<div class="hint">blanket</div>,もうふ,blanket,この <ruby>毛布<rt>もうふ</rt></ruby>は <ruby>暖<rt>あたた</rt></ruby>かい。,This blanket is warm.
気の毒<div class="hint">pitiful; unfortunate</div>,きのどく,pitiful; unfortunate,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>気<rt>き</rt></ruby>の <ruby>毒<rt>どく</rt></ruby>な <ruby>生活<rt>せいかつ</rt></ruby>をしている。,They have a pitiful life.
気付く<div class="hint">to notice; to become aware of</div>,きづく,to notice; to become aware of,<ruby>彼<rt>かれ</rt></ruby>はやっと <ruby>問題<rt>もんだい</rt></ruby> <ruby>点<rt>てん</rt></ruby>に <ruby>気付<rt>きづ</rt></ruby>きました。,He finally realized what the problem was.
気味<div class="hint">sensation; feeling</div>,きみ,sensation; feeling,ここは <ruby>少<rt>すこ</rt></ruby>し <ruby>気味<rt>きみ</rt></ruby>が <ruby>悪<rt>わる</rt></ruby>いですね。,This place is a little creepy.
気温<div class="hint">temperature (weather)</div>,きおん,temperature (weather),<ruby>今日<rt>きょう</rt></ruby>の <ruby>気温<rt>きおん</rt></ruby>は２６ <ruby>度<rt>ど</rt></ruby>です。,Today's temperature is 26 degrees.
水準<div class="hint">level; standard</div>,すいじゅん,level; standard,<ruby>今年<rt>ことし</rt></ruby>の <ruby>応募<rt>おうぼ</rt></ruby> <ruby>作品<rt>さくひん</rt></ruby>は <ruby>水準<rt>すいじゅん</rt></ruby>が <ruby>高<rt>たか</rt></ruby>かったね。,The level of entries this year was high.
氷<div class="hint">ice</div>,こおり,ice,グラスに <ruby>氷<rt>こおり</rt></ruby>を <ruby>入<rt>い</rt></ruby>れてください。,Please put some ice in my glass.
永久<div class="hint">eternity; perpetuity</div>,えいきゅう,eternity; perpetuity,<ruby>彼<rt>かれ</rt></ruby>は <ruby>永久<rt>えいきゅう</rt></ruby>に <ruby>帰<rt>かえ</rt></ruby>らぬ <ruby>人<rt>ひと</rt></ruby>となったのよ。,He passed away.
永遠<div class="hint">eternity; perpetuity</div>,えいえん,eternity; perpetuity,<ruby>平和<rt>へいわ</rt></ruby>は <ruby>人類<rt>じんるい</rt></ruby>の <ruby>永遠<rt>えいえん</rt></ruby>のテーマです。,Peace is an eternal theme for human beings.
求める<div class="hint">to want; to request; to seek</div>,もとめる,to want; to request; to seek,<ruby>子供<rt>こども</rt></ruby>は <ruby>親<rt>おや</rt></ruby>の <ruby>愛<rt>あい</rt></ruby>を <ruby>求<rt>もと</rt></ruby>めます。,Children seek parental love.
汗<div class="hint">sweat; perspiration; condensation</div>,あせ,sweat; perspiration; condensation,<ruby>彼<rt>かれ</rt></ruby>は <ruby>額<rt>ひたい</rt></ruby>に <ruby>汗<rt>あせ</rt></ruby>をかいていたの。,He was sweating from his forehead.
汚染<div class="hint">pollution; contamination</div>,おせん,pollution; contamination,その <ruby>川<rt>かわ</rt></ruby>の <ruby>水<rt>みず</rt></ruby>は <ruby>汚染<rt>おせん</rt></ruby>されています。,The water in the river is polluted.
決まり<div class="hint">settlement; conclusion; agreement</div>,きまり,settlement; conclusion; agreement,<ruby>決<rt>き</rt></ruby>まりを <ruby>守<rt>まも</rt></ruby>ることは <ruby>大切<rt>たいせつ</rt></ruby>です。,It's important to keep rules.
決定<div class="hint">decision</div>,けってい,decision,<ruby>会議<rt>かいぎ</rt></ruby>で <ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>決定<rt>けってい</rt></ruby>がありました。,An important decision was made at the meeting.
沈む<div class="hint">to sink; to go under</div>,しずむ,to sink; to go under,ボートが <ruby>川<rt>かわ</rt></ruby>に <ruby>沈<rt>しず</rt></ruby>んだ。,The boat sank in the river.
沖<div class="hint">open sea</div>,おき,open sea,<ruby>沖<rt>おき</rt></ruby>に <ruby>小島<rt>こじま</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,We can see a small island off the shore.
油<div class="hint">oil</div>,あぶら,oil,<ruby>水<rt>みず</rt></ruby>と <ruby>油<rt>あぶら</rt></ruby>は <ruby>混<rt>ま</rt></ruby>ざらない。,Oil and water don't mix.
泉<div class="hint">spring; fountain</div>,いずみ,spring; fountain,<ruby>森<rt>もり</rt></ruby>の <ruby>中<rt>なか</rt></ruby>にきれいな <ruby>泉<rt>いずみ</rt></ruby>があるの。,There is a beautiful spring in the forest.
法<div class="hint">law; act</div>,ほう,law; act,<ruby>国民<rt>こくみん</rt></ruby>は <ruby>法<rt>ほう</rt></ruby>に <ruby>従<rt>したが</rt></ruby>わなければならないよ。,Citizens must obey the law.
泡<div class="hint">bubble; foam; froth</div>,あわ,bubble; foam; froth,泡がないとビールは美味しくない。,Without foam; beer is not delicious.
波<div class="hint">wave</div>,なみ,wave,<ruby>今日<rt>きょう</rt></ruby>の <ruby>海<rt>うみ</rt></ruby>は <ruby>波<rt>なみ</rt></ruby>が <ruby>穏<rt>おだ</rt></ruby>やかです。,The waves of the sea are calm today.
注目<div class="hint">notice; attention</div>,ちゅうもく,notice; attention,<ruby>私<rt>わたし</rt></ruby>たちはその <ruby>会社<rt>かいしゃ</rt></ruby>に <ruby>注目<rt>ちゅうもく</rt></ruby>している。,We have our eyes on that company.
泳ぎ<div class="hint">swimming</div>,およぎ,swimming,,
活動<div class="hint">activity</div>,かつどう,activity,<ruby>彼<rt>かれ</rt></ruby>は <ruby>地域<rt>ちいき</rt></ruby>の <ruby>活動<rt>かつどう</rt></ruby>に <ruby>参加<rt>さんか</rt></ruby>した。,He took part in local activities.
活気<div class="hint">energy; liveliness</div>,かっき,energy; liveliness,その <ruby>商店<rt>しょうてん</rt></ruby> <ruby>街<rt>がい</rt></ruby>はいつも <ruby>活気<rt>かっき</rt></ruby>にあふれてる。,That shopping street is always lively.
活用<div class="hint">practical use; application</div>,かつよう,practical use; application,<ruby>彼女<rt>かのじょ</rt></ruby>はインターネットを <ruby>活用<rt>かつよう</rt></ruby>しているの。,She makes use of the Internet.
流す<div class="hint">to drain; to pour; to wash away; to broadcast; to circulate</div>,ながす,to drain; to pour; to wash away; to broadcast; to circulate,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>涙<rt>なみだ</rt></ruby>を <ruby>流<rt>なが</rt></ruby>したんだ。,She shed tears.
流れ<div class="hint">current; flow | course of events</div>,ながれ,current; flow | course of events,<ruby>川<rt>かわ</rt></ruby>の <ruby>上流<rt>じょうりゅう</rt></ruby>は <ruby>流<rt>なが</rt></ruby>れが <ruby>速<rt>はや</rt></ruby>いよ。,The river flows fast upstream.
